Date,RequestedQTY,GoodsIssuedQTY,InvoicedQTY,PDO number,req_Illy,req_Teddy,req_Thun,req_other,inv_Illy,inv_Teddy,inv_Thun,inv_other,req_ThunB2B,req_ThunB2C,req_ThunB2B_AA,req_ThunB2B_PP,req_ThunB2B_Sorter,req_ThunB2B_Sort_BVB,req_ThunB2B_Sort_SM,req_ThunB2B_SortSM_10more_no,req_ThunB2B_SortSM_10more_yes,Thun_PDOs,req_BowlPros,inv_BowlPros,AVGperPDO_Thun_ReqQ,AVGperPDO_Thun_SKU,AVGperPDOThunB2B_ReqQ,AVGperPDOThunB2B_InvQ,AVGperPDOThunB2B_SKU,AVGperPDOThunB2B_PDOs,AVGperPDOThunB2C_ReqQ,AVGperPDOThunB2C_InvQ,AVGperPDOThunB2C_SKU,AVGperPDOThunB2C_PDOs,AVGperPDOThunB2Bsort_ReqQ,AVGperPDOThunB2Bsort_InvQ,AVGperPDOThunB2Bsort_SKU,ThunB2Bsort_PDOs,AVGperPDOThunB2Bpp_ReqQ,AVGperPDOThunB2Bpp_InvQ,AVGperPDOThunB2Bpp_SKU,ThunB2Bpp_PDOs,AVGperPDOThunB2Baa_ReqQ,AVGperPDOThunB2Baa_InvQ,AVGperPDOThunB2Baa_SKU,ThunB2Baa_PDOs,AVGperPDO_ReqQ,AVGperPDO_InvQ,AVGperPDO_SKU,BOL_B2B Thun,BOL_B2B AA Thun,BOL_B2B P&P Thun,BOL_B2B Sorter Thun,BOL_B2B Sorter SM Thun,BOL_B2B Sorter BVB Thun,BOL_B2B Sorter riassortimenti WHS,BOL_B2C Thun,BOL_B2C Sorter Thun,BOL_B2C P2L Thun,BOL_Inbound Thun
7/31/2017,168682,157753,157084,10525,13572,15485,135851,3774,12903,14978,125436,3767,129820,6031,7759,5226,116835,17141,99694,4708,94986,7352,0,0,18.4781012,4.422470076,22.98105859,21.14799079,4.879801735,5649,3.541397534,3.50616559,2.905460951,1703,33.83623693,30.91986063,7.036004646,3444,9.852886406,9.584729981,1.988826816,537,4.794364508,4.694244604,1.358513189,1668,16.2835936,15.16464238,4.784943127,,,,,,,,,,,
8/7/2017,228939,202512,201823,8575,12625,49020,164011,3283,11936,40580,146027,3280,159017,4994,9170,11466,138381,17328,121053,3777,117276,5226,0,0,31.38365863,6.483543819,39.9540201,35.47462312,7.546231156,3980,4.008025682,3.88282504,3.089085072,1246,50.88531262,44.43988161,10.00665927,2703,22.82056075,22.29345794,2.371962617,535,12.48652291,12.31940701,2.314016173,742,27.21100808,23.99167855,6.813005231,,,,,,,,,,,
8/14/2017,61592,56886,56427,3528,9540,27530,22734,1788,9081,26072,19488,1786,19791,2943,1206,3776,14809,2344,12465,36,12429,1140,0,0,19.94210526,6.105263158,76.70930233,64.51937984,17.6124031,258,3.336734694,3.222222222,2.739229025,882,103.7323944,85.92957746,28.16901408,142,133.4285714,133.0357143,10.39285714,28,15.05681818,8.170454545,2.875,88,18.23113208,16.69369104,6.483490566,,,,,,,,,,,
8/21/2017,262580.001,240918,240114,9970,13085,36204,211478.001,1813,12281,34713,191308,1812,208898.001,2580,89069,16956.001,102873,14346,88527,5269,83258,7000,0,0,30.211143,5.189857143,33.52559798,30.33782699,5.505055368,6231,3.355006502,2.955786736,2.635890767,769,32.86897477,26.77030087,8.09479133,3091,14.68530885,14.0542571,1.984974958,1198,46.1930999,46.06127703,3.554582904,1942,26.77487775,24.47858891,5.827793638,,,,,,,,,,,
8/28/2017,323619.004,297561,296668,13281,15585,46288,258467.004,3279,14692,41876,236914,3186,256692.004,1775,77415,17822.004,161455,11515,149940,6312,143628,9613,0,0,26.88723645,6.163008426,28.37943659,26.00818132,6.399004975,9045,3.125,2.940140845,2.404929577,568,36.46296716,31.96670442,11.20203851,4415,8.45595314,7.824273664,1.706654171,2134,31.11498397,31.01522436,1.915064103,2496,24.782083,22.70421133,6.808116386,,,,,,,,,,,
9/4/2017,315096.001,286357,285243,8792,24785,41684,245702.001,2925,23671,35481,223176,2915,244702.001,1000,10225,14238.001,220239,27212,193027,3071,189956,4794,0,0,51.25198185,14.93283271,54.6820114,49.6498324,15.84312849,4475,3.134796238,3.112852665,2.163009404,319,81.63619403,73.65074627,24.86641791,2680,16.2766946,15.23650976,2.641791045,871,12.70562771,12.47619048,2.115800866,924,37.56325277,34.02480029,11.81662096,,,,,,,,,,,
9/11/2017,322018,270321,269396,10219,14278,23513,282081,2146,13353,18678,235272,2093,281038,1043,11283,35972,233783,28648,205135,4098,201037,6917,0,0,40.78082984,12.42590719,42.75642781,35.63912977,12.95633653,6573,3.031976744,2.953488372,2.290697674,344,68.3199766,55.1599883,22.8157356,3419,29.14014839,27.74361088,3.384171476,1213,6.236476043,6.188047398,1.571354972,1941,32.25112601,26.98358523,10.32929637,,,,,,,,,,,
9/18/2017,369234,321570,320501,14296,18341,46478,301834,2581,17262,38082,262631,2526,300895,939,20886,88027,191982,33206,158776,6766,152010,10436,0,0,28.92238406,7.018110387,29.92193715,26.02555688,7.207338902,10056,2.471052632,2.415789474,2.010526316,380,38.31028262,31.10242534,11.96652636,4989,25.50779302,24.58603491,1.783977556,3208,15.0274341,14.88488435,3.793975256,1859,26.24034152,22.77815724,7.923585912,,,,,,,,,,,
9/25/2017,371876,329744,328764,13483,17044,66000,286498,2334,16064,48816,261550,2334,285576,922,10855,14786,259935,25276,234659,7210,227449,10067,0,0,28.45912387,6.588059998,29.47120743,26.89917441,6.771413829,9690,2.445623342,2.379310345,1.875331565,377,48.18152926,44.07272387,10.98579174,5349,13.00780031,11.09438378,1.794071763,1282,3.653808434,3.492971559,1.488067996,3059,28.0145408,24.7652377,8.433210277,,,,,,,,,,,
10/2/2017,390095,335944,334864,17488,15119,31569,341694,1713,14039,27206,291913,1706,340522,1172,16607,22539,301376,23032,278344,21663,256681,14306,0,0,23.88466378,5.581294562,24.41893152,20.85285048,5.669415561,13945,3.246537396,3.102493075,2.177285319,361,29.89559397,25.8702168,7.158357478,10009,16.4001345,11.27908541,2.37726967,1487,6.904859126,6.160065333,1.583095141,2449,22.56195816,19.36851231,6.25575078,,,,,,,,,,,
10/9/2017,411345,362893,362012,17725,14144,58799,336495,1907,13263,56147,290716,1886,335705,790,12732,24100,298873,34738,264135,12703,251432,14454,0,0,23.28179051,4.250795628,23.70437054,20.47369908,4.296759161,14163,2.714776632,2.635738832,2.013745704,291,37.404266,32.66060226,6.50250941,7970,10.05958654,7.228617754,1.857721929,2467,3.43424584,3.175254965,1.193505099,3726,23.46562054,20.65124108,5.676348074,,,,,,,,,,,
10/16/2017,378116,335500,334475,14330,17337,94280,263785,2714,16312,84275,231181,2707,263061,724,13511,19844,229706,33012,196694,11285,185409,10425,0,0,25.30119904,4.693908873,25.91281647,22.70397005,4.763668604,10151,2.642335766,2.52919708,2.109489051,274,35.03848503,31.16814294,6.596059866,6548,11.94524669,8.380866426,1.41456077,1662,7.087068521,6.414219474,1.449768161,1941,26.7489744,23.66119677,8.073065497,,,,,,,,,,,
10/23/2017,423900,379730,378757,16730,14434,81812,325190,2464,13461,77302,285540,2454,324537,653,19783,20909,283845,38231,245614,15126,230488,12996,0,0,25.02231456,5.048168667,25.5018859,22.3877102,5.111818325,12726,2.418518519,2.348148148,2.048148148,270,42.32345457,36.77847628,7.753480018,6681,9.580190822,9.114039073,1.679236711,2201,5.381893861,4.976326743,2.485952133,3844,25.73472113,22.99053226,6.890331978,,,,,,,,,,,
